candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,benchmark,ic,ic_delta,hit_rate,hit_rate_delta,oos_r2,oos_r2_delta,mae,mae_delta,policy_return_sign,policy_return_sign_delta,policy_return_neutral_3pct,policy_return_neutral_3pct_delta
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,VOO,0.14073255451074562,0.027978536346308536,0.5740740740740741,-0.01851851851851849,-0.18113618100750517,0.00974324392767456,0.1379158955775456,-0.0014268926647525992,0.04383619122971706,-0.0019608301907494408,0.04650433561152248,0.0002473224306305602
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,VXUS,0.17717587552186095,-0.03602223911635971,0.7407407407407407,0.03703703703703698,-0.056441882757498396,-0.0025265981174589225,0.14109655509459437,-0.0017202870834129025,0.08831374493256655,0.008748587483404902,0.0838711632121682,0.007080178501229925
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,VWO,0.12961450628143664,0.04364781956574891,0.5689655172413793,-0.01724137931034475,-0.17004037901997848,0.02708079012337561,0.1438873114982526,-0.0013932353544035547,0.06224159401997753,-0.0027011645950625746,0.061950965896269146,-0.005334528843881282
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,VMBS,0.12993232008227962,0.02607955506966432,0.6916666666666667,0.0,-0.24876533207089024,0.012686304485181044,0.13531474394702958,-0.0002824101489820041,0.1018317321607508,0.00019748518547058058,0.10334910022427798,-0.0010694645565213212
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,BND,0.2369141793579398,0.04076773532373712,0.62,-0.013333333333333308,-0.24114035668423162,0.010761298588675139,0.1294569051248652,0.0007609439508496352,0.08278852600086369,-0.0012281901506094595,0.08535011191209886,0.0010907213332984889
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,GLD,0.03736979294075838,-0.04960260880260984,0.5333333333333333,-0.022222222222222254,-0.6418028620606562,-0.07520729242552537,0.19112362536900804,0.004298692525967235,0.030799422608398814,-0.010227864238519218,0.03525540364437563,-0.008073161543282067
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,DBC,0.08566807890740118,0.031365485448541175,0.6547619047619048,-0.029761904761904767,-0.4372619983523014,0.191375483197459,0.1841192283201217,-0.006132405527363466,0.09036824770620762,-0.002816690490726914,0.08815083525090087,-0.004003427435354978
gbt_lean_plus_two,gbt,ppi_auto_ins_yoy,vmt_yoy,1,chatgpt,True,queued_available,Immediate repo-ready test,VDE,-0.009518944521583467,0.0023241232563350703,0.5277777777777778,-0.005555555555555536,-0.6504479990591021,0.021917730532238666,0.22037271096197436,0.0025687040010154427,0.032465206971509515,-0.004848320658471537,0.03771089803304345,-0.0033399663485170067
gbt_lean_plus_two,gbt,used_car_cpi_yoy,vmt_yoy,2,chatgpt;claude,True,queued_available,Pair with medical CPI later,VOO,0.10794679120583382,-0.004807226958603264,0.5833333333333334,-0.00925925925925919,-0.260175669850383,-0.06929624491520325,0.14441216409199847,0.0050693758497002694,0.04386096421581474,-0.0019360572046517588,0.04080979169576365,-0.005447221485128266
gbt_lean_plus_two,gbt,used_car_cpi_yoy,vmt_yoy,2,chatgpt;claude,True,queued_available,Pair with medical CPI later,VXUS,0.19912397096481516,-0.01407414367340551,0.6759259259259259,-0.02777777777777779,-0.07055517835418312,-0.01663989371414365,0.1422845577341771,-0.0005322844438301888,0.07191530693234714,-0.0076498505168145076,0.07253780600484006,-0.004253178706098218
